No,City,1991,2001,2011,xPos,yPos
1,London,"6,715,769","7,208,384","8,250,205",1890,2455
2,Birmingham,"965,928","970,892","1,085,810",1605,2121
3,Glasgow,...,"575,132","590,507",1370,1050
4,Liverpool,"538,386","523,783","552,267",1465,1810
5,Bristol,"496,044","516,997","535,907",1439,2402
6,Sheffield,"457,805","469,127","518,090",1715,1852
7,Manchester,"447,863","438,752","510,746",1592,1823
8,Leeds,"424,194","445,795","474,632",1739,1734
9,Edinburgh,"400,632","431,393","459,366",1535,1034
10,Leicester,"377,700","401,448","443,760",1754,2089
11,Bradford,"305,101","311,130","349,561",1675,1717
12,Cardiff,"276,464","296,808","335,145",1321,2369
13,Coventry,"299,316","305,854","325,949",1674,2144
14,Nottingham,"270,222","249,584","289,301",1759,1994
15,Kingston upon Hull,"310,636","301,416","284,321",1944,1770
16,Belfast,"279,237","276,705","280,561",1015,1367
17,Stoke-on-Trent,"266,543","259,252","270,726",1582,1945
18,Newcastle upon Tyne,"255,362","254,777","268,064",1759,1373
19,Derby,"223,836","229,407","255,394",1703,2002
20,Southampton,"210,138","234,224","253,651",1630,2595
21,Portsmouth,...,...,"238,137",1689,2638
22,Plymouth,...,...,"234,982",1096,2675
23,Brighton and Hove,"192,453","206,628","229,700",1865,2650
24,Reading,"213,474",...,"218,705",1725,2453
25,Northampton,"183,082","197,199","215,173",1782,2211
26,Luton,"171,671","185,543","211,228",1852,2339
27,Wolverhampton,...,...,"210,319",1572,2083
28,Aberdeen,"182,133","185,226","195,021",1784,705
29,Bolton,...,...,"194,189",1555,1773
30,Bournemouth,"155,488","167,527","187,503",1539,2639
31,Norwich,"171,304","174,047","186,682",2181,2148
32,Swindon,"145,236","155,432","182,441",1595,2400
33,Swansea,"171,038","169,880","179,485",1173,2311
34,Southend-on-Sea,"158,517","160,257","175,547",2053,2460
35,Middlesbrough,"184,773","175,479","174,700",1816,1519
36,Sunderland,"183,310","177,739","174,286",1792,1416
37,Milton Keynes,"102,428","122,041","171,750",1805,2263
38,Warrington,"152,458","158,195","165,456",1529,1827
39,Huddersfield,"147,847","149,938","162,949",1672,1793
40,Peterborough,"134,788","136,292","161,707",1874,2163
41,Oxford,"118,795","143,016","159,994",1692,2350
42,Slough,"121,811","137,736","155,298",1809,2444
43,Poole,"138,479","144,800","154,718",1520,2632
44,York,"124,609","137,505","152,841",1824,1700
45,Blackpool,"146,262","142,283","147,663",1470,1687
46,Dundee,...,"145,817","147,285",1623,900
47,Cambridge,"109,912","127,713","145,818",1978,2253
48,Ipswich,"130,157","138,718","144,957",2148,2318
49,Birkenhead,"149,164","137,634","142,968",1447,1821
50,Telford,"114,251","131,489","142,723",1515,2028
51,Gloucester,"114,003","123,205","136,362",1517,2292
52,Sale,...,...,"134,022",1553,1820
53,Watford,"113,080","120,960","131,982",1848,2398
54,Newport,"115,522","118,323","128,060",1372,2356
55,Solihull,"118,103","118,907","123,187",1637,2147
56,High Wycombe,"106,123","110,473","120,256",1768,2404
57,Gateshead,"118,212","112,599","120,046",1758,1390
58,Colchester,"96,063","104,390","119,441",2083,2360
59,Blackburn,...,...,"117,963",1580,1707
60,Cheltenham,"102,633","110,320","116,447",1549,2288
61,Exeter,"94,717","106,772","113,507",1226,2596
62,Chelmsford,"97,451","99,962","110,507",2016,2399
63,Doncaster,"103,580","101,056","109,805",1896,1828
64,Rotherham,...,...,"109,691",1759,1863
65,Eastbourne,"94,793","106,562","109,185",1939,2675
66,Worthing,...,...,"109,120",1818,2647
67,Sutton Coldfield,"106,001","105,452","109,015",1619,2081
68,Rochdale,"100,935","102,888","107,926",1613,1772
69,Maidstone,...,...,"107,627",2013,2542
70,Basingstoke,"81,228","93,963","107,355",1682,2491
71,Basildon,"100,924","99,876","107,123",2006,2434
72,Crawley,"88,203","100,547","106,943",1866,2558
73,Stockport,...,...,"105,878",1609,1839
74,Woking,"101,484","105,262","105,367",1745,2468
75,Gillingham,"94,923","98,403","104,157",2005,2520
76,Salford,...,...,"103,886",1570,1802
77,Wigan,"98,070","92,415","103,608",1526,1788
78,St Helens,"106,293","102,629","102,885",1504,1804
79,Lincoln,"97,996","104,221","100,160",1882,1929
80,Worcester,"82,661","94,029","100,153",1539,2195
